sample_id,depth,age_ka,d13C,d18O,ird_percent,ird_lithics_gm
"162-980C-9H-5,8-10",77.18,645.54,0.17,4.28,77.59,1143.08
"162-980C-9H-5,13-15",77.23,645.92,,,93.24,2190.3
"162-980C-9H-5,18-20",77.28,646.3,,,99.33,4112.72
"162-980C-9H-5,23-25",77.33,646.68,,,14.29,243.93
"162-980C-9H-5,28-30",77.38,647.06,0.51,4.65,2.66,67.59
"162-980C-9H-5,33-35",77.43,647.44,,,2.55,46.97
"162-980C-9H-5,38-40",77.48,647.82,0.66,4.29,1.1,18.69
"162-980C-9H-5,43-45",77.53,648.2,0.43,4.62,4.42,382.98
"162-980C-9H-5,48-50",77.58,648.58,0.45,4.58,41.88,872.2
"162-980C-9H-5,53-55",77.63,648.96,0.42,4.8,19.16,1934.85
"162-980C-9H-5,58-60",77.68,649.34,0.23,3.95,4.02,268.81
"162-980C-9H-5,63-65",77.73,649.72,,,2.35,195.92
"162-980C-9H-5,68-70",77.78,650.1,0.36,4.6,4.86,163.32
"162-980C-9H-5,73-75",77.83,650.48,,,1.8,141.53
"162-980C-9H-5,78-80",77.88,650.85,-0.17,4.23,1.45,69.79
"162-980C-9H-5,83-85",77.93,651.23,0.35,4.12,0.37,18.2
"162-980C-9H-5,88-90",77.98,651.61,0.5,4.41,5.33,137.34
"162-980C-9H-5,93-95",78.03,651.99,,,0.29,12.51
"162-980C-9H-5,98-100",78.08,652.37,0.33,4.32,0.18,4.59
"162-980C-9H-5,103-105",78.13,652.75,,,1.14,41.46
"162-980C-9H-5,108-110",78.18,653.13,,,1.71,47.24
"162-980C-9H-5,113-115",78.23,653.51,,,2.92,140.12
"162-980C-9H-5,118-120",78.28,653.89,0.34,4,1.9,37.18
"162-980C-9H-5,123-125",78.33,654.27,,,3.08,71.27
"162-980C-9H-5,128-130",78.38,654.65,0.51,4.43,7.1,113.27
"162-980C-9H-5,133-135",78.43,655.03,,,6.81,206.08
"162-980C-9H-5,138-140",78.48,655.41,0.49,3.96,9.43,116.55
"162-980C-9H-5,143-145",78.53,655.79,,,28.43,169.47
"162-980C-9H-5,148-150",78.58,656.17,-0.11,4.51,2.13,6.48
"162-980C-9H-6,3-5",78.63,656.55,0.19,4.73,1.16,13.78
"162-980C-9H-6,8-10",78.68,656.93,,,0,0
"162-980C-9H-6,13-15",78.73,657.31,0.77,4.71,9.77,55.11
"162-980C-9H-6,18-20",78.78,657.68,0.15,3.96,66.67,1303.48
"162-980C-9H-6,23-25",78.83,658.06,0.58,4.65,85.16,2021.36
"162-980C-9H-6,28-30",78.88,658.44,0.49,4.63,45.79,521.32
"162-980C-9H-6,33-35",78.93,658.82,0.61,4.58,15.63,230.94
"162-980C-9H-6,38-40",78.98,659.2,0.38,4,38.38,269.15
"162-980C-9H-6,43-45",79.03,659.58,0.77,4.59,28.57,318.61
"162-980C-9H-6,48-50",79.08,659.96,0.44,4.6,21.95,183.59
"162-980A-8H-1,38-40",79.09,660.04,0.45,4.56,14.49,121.11
"162-980A-8H-1,43-45",79.14,660.42,0.62,4.53,10.96,124.79
"162-980A-8H-1,48-50",79.19,660.8,0.45,4.36,3.33,422.44
"162-980A-8H-1,53-55",79.24,661.18,0.52,4.57,2.48,51.95
"162-980A-8H-1,58-60",79.29,661.56,,,7.02,110.1
"162-980A-8H-1,63-65",79.34,661.93,0.75,4.3,0.43,7.51
"162-980A-8H-1,68-70",79.39,662.31,0.53,4.36,2.66,48.93
"162-980A-8H-1,73-75",79.44,662.69,0.57,4.13,1.06,11.25
"162-980A-8H-1,78-80",79.49,663.07,0.47,3.79,1,19.32
"162-980A-8H-1,83-85",79.54,663.45,0.42,3.93,9.13,307.2
"162-980A-8H-1,88-90",79.59,663.83,0.1,4.07,52.23,1442.79
"162-980A-8H-1,93-95",79.64,664.21,0.39,4.17,14.24,455.59
"162-980A-8H-1,98-100",79.69,664.59,0.3,3.84,13.85,179.98
"162-980A-8H-1,103-105",79.74,664.97,0.37,4.2,1.84,51.76
"162-980A-8H-1,108-110",79.79,665.35,0.37,4.2,4.92,143.37
"162-980A-8H-1,113-115",79.84,665.73,0.52,4.19,2.74,78.84
"162-980A-8H-1,118-120",79.89,666.11,,,13.74,199.74
"162-980A-8H-1,123-125",79.94,666.49,0.5,4.16,4.48,76.76
"162-980A-8H-1,128-130",79.99,666.87,0.44,4.32,6.98,155.92
"162-980A-8H-1,133-135",80.04,667.25,0.45,4.08,0.83,80.51
"162-980A-8H-1,138-140",80.09,667.63,-0.06,4.16,2.82,57.25
"162-980A-8H-1,143-145",80.14,668.01,0.46,4.19,2.64,145.81
"162-980A-8H-1,148-150",80.19,668.39,0.12,3.94,22.97,330.16
"162-980A-8H-2,3-5",80.24,668.76,0.34,4.33,3.36,84.8
"162-980A-8H-2,8-10",80.29,669.14,0.31,4.21,3.22,58.72
"162-980A-8H-2,13-15",80.34,669.52,0.13,4.18,3.14,108.37
"162-980A-8H-2,18-20",80.39,669.9,0.16,3.81,3.41,40.69
"162-980A-8H-2,23-25",80.44,670.28,0,3.9,88.77,2944.62
"162-980A-8H-2,28-30",80.49,670.66,0.24,4.25,2.31,71.86
"162-980A-8H-2,33-35",80.54,671.04,0.31,4.25,4.13,168.64
"162-980A-8H-2,38-40",80.59,671.42,0.33,3.83,1.3,20.23
"162-980A-8H-2,43-45",80.64,671.8,0.2,4.04,6.98,99.55
"162-980A-8H-2,48-50",80.69,672.18,0.33,3.94,1.62,88.21
"162-980A-8H-2,53-55",80.74,672.56,0.19,4.05,1.43,63.04
"162-980A-8H-2,58-60",80.79,672.94,0.01,3.61,2.8,96.58
"162-980A-8H-2,63-65",80.84,673.32,0.24,3.91,30.03,521.16
"162-980A-8H-2,68-70",80.89,673.7,0.31,4.26,5.28,253.18
"162-980A-8H-2,73-75",80.94,674.08,0.25,4.38,29.59,1143.83
"162-980A-8H-2,78-80",80.99,674.46,0.21,4,5.29,174.35
"162-980A-8H-2,83-85",81.04,674.84,0.42,4.21,13.6,622.14
"162-980A-8H-2,88-90",81.09,675.22,,,9.46,164.47
"162-980A-8H-2,93-95",81.14,675.59,0.46,4.23,9.33,746.6
"162-980A-8H-2,98-100",81.19,675.97,0.54,3.92,3.39,189.84
"162-980A-8H-2,103-105",81.24,676.35,,,5.11,267.1
"162-980A-8H-2,108-110",81.29,676.73,0.2,3.81,25.32,334.73
"162-980A-8H-2,113-115",81.34,677.11,0.18,3.63,61.01,1577.64
"162-980A-8H-2,118-120",81.39,677.49,0.66,4.06,58.17,2849.25
"162-980A-8H-2,123-125",81.44,677.87,0.63,3.97,0.89,79.24
"162-980A-8H-2,128-130",81.49,678.25,0.42,3.99,1.95,172.18
"162-980A-8H-2,133-135",81.54,678.63,0.99,3.7,0.5,44.93
"162-980A-8H-2,138-140",81.59,679.01,0.86,3.75,0.82,173.75
"162-980A-8H-2,143-145",81.64,679.39,0.69,3.82,0.43,68.16
"162-980A-8H-2,148-150",81.69,679.77,0.32,3.48,15.52,631.41
"162-980A-8H-3,3-5",81.74,680.15,0.52,3.83,2.02,80.96
"162-980A-8H-3,8-10",81.79,680.53,0.68,3.75,0.19,7.05
"162-980A-8H-3,13-15",81.84,680.91,0.56,3.82,0.81,71.76
"162-980A-8H-3,18-20",81.89,681.29,0.17,3.27,28.57,482.87
"162-980A-8H-3,23-25",81.94,681.67,0.2,3.51,17.15,618.13
"162-980A-8H-3,28-30",81.99,682.05,0.29,3.32,54.74,682.74
"162-980A-8H-3,33-35",82.04,682.42,,,35.42,734.66
"162-980A-8H-3,38-40",82.09,682.8,0.77,3.25,23.26,477.04
"162-980A-8H-3,43-45",82.14,683.18,0.6,3.95,1.4,88.54
"162-980A-8H-3,48-50",82.19,683.56,0.75,3.29,0,0
"162-980A-8H-3,53-55",82.24,683.94,0.67,3.64,0.27,18.58
"162-980A-8H-3,58-60",82.29,684.32,0.77,3.3,0.46,32.62
"162-980A-8H-3,63-65",82.34,684.7,0.83,3.47,0.36,35.39
"162-980A-8H-3,68-70",82.39,685.08,1.15,3.41,0,0
"162-980A-8H-3,73-75",82.44,685.46,0.9,3.23,0.27,21.51
"162-980A-8H-3,78-80",82.49,685.84,1,2.97,0,0
"162-980A-8H-3,83-85",82.54,686.63,1.01,3.22,0,0
"162-980A-8H-3,88-90",82.59,687.42,1,3.25,0,0
"162-980A-8H-3,93-95",82.64,688.21,,,0.3,33.6
"162-980A-8H-3,98-100",82.69,689,0.74,2.76,0.24,16
"162-980A-8H-3,103-105",82.74,689.79,,,0,0
"162-980A-8H-3,108-110",82.79,690.59,,,0,0
"162-980A-8H-3,113-115",82.84,691.38,,,0.22,15.44
"162-980A-8H-3,118-120",82.89,692.17,0.91,3.05,0.48,26.22
"162-980A-8H-3,123-125",82.94,692.96,,,0,0
"162-980A-8H-3,128-130",82.99,693.75,,,0,0
"162-980A-8H-3,133-135",83.04,694.54,,,0,0
"162-980A-8H-3,138-140",83.09,695.33,1.02,2.94,0,0
"162-980A-8H-3,143-145",83.14,696.12,1.72,3.89,0.29,53.07
"162-980A-8H-3,148-150",83.19,696.91,1.12,3.3,0,0
"162-980A-8H-4,3-5",83.24,697.7,0.96,3.15,0,0
"162-980A-8H-4,8-10",83.29,698.49,0.96,3.29,0.27,67.6
"162-980A-8H-4,13-15",83.34,699.29,0.89,3.34,0.27,54.64
"162-980A-8H-4,18-20",83.39,700.08,0.91,3.06,0.81,88.34
"162-980A-8H-4,23-25",83.44,700.87,0.73,3.34,1.39,209.75
"162-980A-8H-4,28-30",83.49,701.66,-0.44,2.98,1.63,300.26
"162-980A-8H-4,33-35",83.54,702.45,0.58,3.39,1.42,103.75
"162-980A-8H-4,38-40",83.59,703.24,0.84,3.25,2.74,121.15
"162-980A-8H-4,43-45",83.64,704.48,,,0.97,29.8
"162-980A-8H-4,48-50",83.69,705.73,1.18,4.22,0,0
"162-980A-8H-4,53-55",83.74,706.97,,,0.41,12.37
"162-980A-8H-4,58-60",83.79,708.21,,,0.43,5.45
"162-980A-8H-4,63-65",83.84,709.46,,,0.88,12.9
"162-980A-8H-4,68-70",83.89,710.7,0.23,4.65,21.35,432.92
"162-980A-8H-4,73-75",83.94,711.94,,,79.51,1821.57
"162-980A-8H-4,78-80",83.99,713.19,-0.78,3.36,76.69,1455.86
"162-980A-8H-4,83-85",84.04,714.43,,,89.17,3483.67
"162-980A-8H-4,88-90",84.09,715.67,,,88.78,1540.37
"162-980A-8H-4,93-95",84.14,716.92,,,85.05,1420.12
"162-980A-8H-4,98-100",84.19,718.16,-0.64,3.59,82.58,1423.09
"162-980A-8H-4,103-105",84.24,719.39,0.51,3.51,85.4,466.61
"162-980A-8H-4,108-110",84.29,720.62,-0.04,3.85,85.09,1264.65
"162-980A-8H-4,113-115",84.34,721.85,0.13,3.9,66.34,704.11
"162-980C-10H-3,13-15",84.38,722.83,0.48,4.2,30.37,664.48
"162-980C-10H-3,18-20",84.43,724.06,0.63,4.11,,
"162-980C-10H-3,23-25",84.48,725.29,0.66,4.22,13.93,486.58
"162-980C-10H-3,28-30",84.53,726.52,0.47,4.09,5.56,387.76
"162-980C-10H-3,33-35",84.58,727.75,0.57,4.16,2.84,186.69
"162-980C-10H-3,38-40",84.63,728.97,0.72,3.93,2.46,408.46
"162-980C-10H-3,43-45",84.68,730.2,0.96,3.92,0.57,71.15
"162-980C-10H-3,48-50",84.73,731.43,0.73,3.91,0,0
"162-980C-10H-3,53-55",84.78,732.66,0.69,3.76,0.28,42.56
"162-980C-10H-3,58-60",84.83,733.89,0.71,3.38,0.5,80.5
"162-980C-10H-3,63-65",84.88,735.12,0.57,3.38,0.51,157.5
"162-980C-10H-3,68-70",84.93,736.35,0.7,3.78,1.47,206.87
"162-980C-10H-3,73-75",84.98,737.58,0.34,3.88,0.5,79.79
"162-980C-10H-3,78-80",85.03,738.81,0.52,3.61,0,0
"162-980C-10H-3,83-85",85.08,740.04,0.36,3.78,0.25,42.32
"162-980C-10H-3,88-90",85.13,741.26,0.54,3.79,0,0
"162-980C-10H-3,93-95",85.18,742.49,0.53,3.9,0,0
"162-980C-10H-3,98-100",85.23,743.72,0.42,3.52,0,0
"162-980C-10H-3,103-105",85.28,744.95,0.51,3.51,0.62,61.19
"162-980C-10H-3,108-110",85.33,746.18,0.04,3.79,4.24,366.39
"162-980C-10H-3,113-115",85.38,747.41,1.01,4.41,0.84,56.81
"162-980C-10H-3,118-120",85.43,748.64,-0.15,3.3,64.94,1829.88
"162-980C-10H-3,123-125",85.48,749.87,0.17,3.97,50.93,1705.17
"162-980C-10H-3,128-130",85.53,751.1,-0.11,4.4,9.09,213.48
"162-980C-10H-3,133-135",85.58,752.33,0.23,4.3,56.84,956.68
"162-980C-10H-3,138-140",85.63,753.55,0.23,4.25,5.74,404.33
"162-980C-10H-3,143-145",85.68,754.78,0.33,4.47,3.7,351.62
"162-980C-10H-3,148-150",85.73,756.01,0.37,4.23,2.64,139.26
"162-980C-10H-4,3-5",85.78,757.24,0.76,4.14,7.21,542.52
"162-980C-10H-4,8-10",85.83,758.47,0.68,3.75,10.16,419.24
"162-980C-10H-4,13-15",85.88,759.01,0.3,4.15,7.44,732.67
"162-980C-10H-4,18-20",85.93,759.55,0.45,4.05,4.08,394.03
"162-980C-10H-4,23-25",85.98,760.09,0.63,4.09,6.45,368.55
"162-980C-10H-4,28-30",86.03,760.63,0.52,3.98,7.12,198.71
"162-980C-10H-4,33-35",86.08,761.17,0.65,3.97,7.69,70.32
"162-980C-10H-4,38-40",86.13,761.71,,,0,0
"162-980C-10H-4,43-45",86.18,762.25,0.64,3.74,1.41,83.69
"162-980C-10H-4,48-50",86.23,762.79,0.51,3.67,3.03,107.97
"162-980C-10H-4,53-55",86.28,763.33,,,26.56,510.27
"162-980C-10H-4,58-60",86.33,763.87,-0.05,3.55,56.72,2104.72
"162-980C-10H-4,63-65",86.38,764.41,0.84,3.85,49.32,1143.84
"162-980C-10H-4,68-70",86.43,764.95,0.59,3.64,6.55,386.1
"162-980C-10H-4,73-75",86.48,765.49,0.68,3.56,1.29,53.53
"162-980C-10H-4,78-80",86.53,766.03,0.55,3.15,0.28,19.85
"162-980C-10H-4,83-85",86.58,766.57,0.82,3.23,1.09,48.57
"162-980C-10H-4,88-90",86.63,767.11,0.98,3.28,1.63,136.42
"162-980C-10H-4,93-98",86.68,767.65,0.65,3.39,5.61,124.7
"162-980C-10H-4,98-100",86.73,768.19,0.57,3.25,15.08,465.09
"162-980C-10H-4,103-105",86.78,768.73,0.85,4.14,1.52,117.82
"162-980C-10H-4,108-110",86.83,769.27,0.69,3.39,0.89,119.51
"162-980C-10H-4,113-115",86.88,769.81,0.52,3.92,0.95,72.84
"162-980C-10H-4,118-120",86.93,770.35,0.72,3.3,0.31,11.57
"162-980C-10H-4,123-125",86.98,770.89,0.86,3.48,0.18,23.42
"162-980C-10H-4,128-130",87.03,771.43,0.74,3.29,0.28,22.21
"162-980C-10H-4,133-135",87.08,771.97,0.67,3.35,2.27,315.58
"162-980C-10H-4,138-140",87.13,772.5,0.95,3.2,0,0
"162-980C-10H-4,143-145",87.18,773.04,0.87,3.34,0,0
"162-980C-10H-4,148-150",87.23,773.58,1.07,3.19,0,0
"162-980C-10H-5,3-5",87.28,774.12,0.91,3.28,0,0
"162-980C-10H-5,8-10",87.33,774.66,0.88,3.1,0.7,13.73
"162-980C-10H-5,13-15",87.38,775.2,0.85,3.13,0,0
"162-980C-10H-5,18-20",87.43,775.74,0.98,2.84,0,0
"162-980C-10H-5,23-25",87.48,776.28,0.82,2.96,0,0
"162-980C-10H-5,28-30",87.53,776.82,0.93,3.1,0,0
"162-980C-10H-5,33-35",87.58,777.36,0.73,3.09,0,0
"162-980C-10H-5,38-40",87.63,777.9,1.04,3.16,0,0
"162-980C-10H-5,43-45",87.68,778.44,0.7,3.1,0.28,14.2
"162-980C-10H-5,48-50",87.73,778.98,0.84,3.05,0,0
"162-980C-10H-5,53-55",87.78,779.52,0.8,2.76,0,0
"162-980C-10H-5,58-60",87.83,780.06,0.73,2.74,0,0
"162-980C-10H-5,63-65",87.88,780.6,0.9,2.89,0,0
"162-980C-10H-5,68-70",87.93,781.14,0.63,2.99,0,0
"162-980C-10H-5,73-75",87.98,781.68,0.68,3.04,0,0
"162-980C-10H-5,78-80",88.03,782.22,0.92,2.77,0,0
"162-980C-10H-5,83-85",88.08,782.76,0.55,2.94,0,0
"162-980C-10H-5,88-90",88.13,783.3,0.45,3,0.33,11.03
"162-980C-10H-5,93-95",88.18,783.84,0.81,3.02,0.66,17.97
"162-980C-10H-5,98-100",88.23,784.38,0.71,2.67,0.23,11.57
"162-980C-10H-5,103-105",88.28,784.92,0.59,2.96,0.33,13.76
"162-980C-10H-5,108-110",88.33,785.46,0.54,2.92,0.22,12.27
"162-980C-10H-5,113-115",88.38,786,0.38,2.86,0.76,24.99
"162-980C-10H-5,118-120",88.43,786.65,0.57,2.74,0.25,10.56
"162-980C-10H-5,123-125",88.48,787.3,0.57,2.94,0,0
"162-980C-10H-5,128-130",88.53,787.95,0.68,2.93,1.34,13.96
"162-980C-10H-5,133-135",88.58,788.6,0.64,2.95,2.9,36.81
"162-980C-10H-5,138-140",88.63,789.25,-0.06,2.77,25.68,195
"162-980C-10H-5,143-145",88.68,789.9,-0.06,3.24,58.69,693.96
"162-980C-10H-5,148-150",88.73,790.56,0.04,2.93,72.2,795.74
"162-980C-10H-6,8-10",88.83,791.86,-0.52,3.29,61.03,409.17
"162-980C-10H-6,13-15",88.88,792.51,-0.4,3.75,60.99,462.6
"162-980C-10H-6,18-20",88.93,793.16,-0.35,3.46,63.24,952.25
"162-980C-10H-6,23-25",88.98,793.81,-0.25,3.87,39.66,502.69
