sample_id,depth,age_ka,d13C,d18O,ird_percent,ird_lithics_gm
"162-980C-10H-6,28-30",89.03,794.46,0.42,4.42,25,338.91
"162-980C-10H-6,33-35",89.08,795.11,0.29,4.48,8.82,138.29
"162-980C-10H-6,38-40",89.13,795.76,0.3,4.19,13.33,367.29
"162-980C-10H-6,43-45",89.18,796.41,0.39,4.45,10.89,215.47
"162-980C-10H-6,48-50",89.23,797.06,0.42,4.37,16.67,698.39
"162-980C-10H-6,53-55",89.28,797.71,0.29,4.37,4.61,164.71
"162-980C-10H-6,58-60",89.33,798.37,0.03,3.95,0.84,86.9
"162-980C-10H-6,63-65",89.38,799.02,0.49,4.19,4.49,282.02
"162-980C-10H-6,68-70",89.43,799.67,0.6,4.13,3.85,222.77
"162-980C-10H-6,73-75",89.48,800.32,0.58,4,1.58,189.19
"162-980C-10H-6,78-80",89.53,800.97,0.56,3.75,1.25,266.39
"162-980C-10H-6,83-85",89.58,801.62,0.36,3.97,2.27,193
"162-980C-10H-6,88-90",89.63,802.27,0.79,3.89,4.17,201.14
"162-980C-10H-6,93-95",89.68,802.92,0.92,3.9,0.42,22.02
"162-980C-10H-6,98-100",89.73,803.57,0.67,3.59,0.53,21.07
"162-980C-10H-6,103-105",89.78,804.22,0.4,3.89,0.71,19.18
"162-980C-10H-6,108-110",89.83,804.87,,,8.3,416.23
"162-980A-9H-1,78-80",89.87,805.39,0.84,3.47,1.59,115.24
"162-980A-9H-1,83-85",89.92,806.04,0.91,3.62,0.41,53.45
"162-980A-9H-1,88-90",89.97,806.7,0.89,3.53,3.77,267.12
"162-980A-9H-1,93-95",90.02,807.35,0.91,3.51,0,0
"162-980A-9H-1,98-100",90.07,808,0.61,3.1,0.42,19.91
"162-980A-9H-1,103-105",90.12,808.65,0.74,3.46,0,0
"162-980A-9H-1,108-110",90.17,809.3,1.3,4.12,0,0
"162-980A-9H-1,113-115",90.22,809.95,0.75,3.29,0,0
"162-980A-9H-1,118-120",90.27,810.6,0.83,3.14,0,0
"162-980A-9H-1,123-125",90.32,811.36,0.68,3.23,0,0
"162-980A-9H-1,128-130",90.37,812.12,0.8,3.28,0.6,21.59
"162-980A-9H-1,133-135",90.42,812.87,0.48,3.05,2.78,117.87
"162-980A-9H-1,138-140",90.47,813.63,0.56,3.02,6.44,267.22
"162-980A-9H-1,143-145",90.52,814.39,0.17,3.33,2.19,98.58
"162-980A-9H-1,148-150",90.57,815.15,0.6,3.89,1.86,118.16
"162-980A-9H-2,3-5",90.62,815.9,0.48,3.86,0.71,52.79
"162-980A-9H-2,8-10",90.67,816.66,,,0.4,26.23
"162-980A-9H-2,13-15",90.72,817.42,0.84,3.71,0.54,29.09
"162-980A-9H-2,18-20",90.77,818.18,-0.2,3.5,0,0
"162-980A-9H-2,23-25",90.82,818.93,0.63,3.41,1.24,93.6
"162-980A-9H-2,28-30",90.87,819.69,0.43,3.86,0.28,31.17
"162-980A-9H-2,33-35",90.92,820.45,0.62,3.38,0.51,24.82
"162-980A-9H-2,38-40",90.97,821.21,0.39,3.34,0.53,44.49
"162-980A-9H-2,43-45",91.02,821.96,0.77,3.39,0.75,41.42
"162-980A-9H-2,48-50",91.07,822.72,0.67,3.47,0,0
"162-980A-9H-2,53-55",91.12,823.48,,,2.55,63.52
"162-980A-9H-2,58-60",91.17,824.24,0.01,3.22,20.13,555.08
"162-980A-9H-2,63-65",91.22,824.99,0.56,3.9,1.6,123.67
"162-980A-9H-2,68-70",91.27,825.75,,,0.27,36.6
"162-980A-9H-2,73-75",91.32,826.51,,,0,0
"162-980A-9H-2,78-80",91.37,827.27,0.01,3.38,0.35,19.51
"162-980A-9H-2,83-85",91.42,828.02,,,0.61,22.04
"162-980A-9H-2,88-90",91.47,828.78,,,0.51,25.62
"162-980A-9H-2,93-95",91.52,829.54,0.91,3.61,3.49,140.54
"162-980A-9H-2,98-100",91.57,830.3,-0.22,3.29,5.69,294.44
"162-980A-9H-2,103-105",91.62,831.05,0.94,3.44,0,0
"162-980A-9H-2,108-110",91.67,831.81,,,0.29,18.98
"162-980A-9H-2,113-115",91.72,832.57,0.63,3.27,0,0
"162-980A-9H-2,118-120",91.77,833.33,,,0,0
"162-980A-9H-2,123-125",91.82,834.08,0.45,3.26,0.43,22.24
"162-980A-9H-2,128-130",91.87,834.84,,,0,0
"162-980A-9H-2,133-135",91.92,835.6,0.6,3.12,0.38,16.17
"162-980A-9H-2,138-140",91.97,836.36,0.81,2.99,0.24,10.99
"162-980A-9H-2,143-145",92.02,837.11,,,0,0
"162-980A-9H-2,148-150",92.07,837.87,,,0,0
"162-980A-9H-3,3-5",92.12,838.63,,,0,0
"162-980A-9H-3,8-10",92.17,839.39,,,0,0
"162-980A-9H-3,13-15",92.22,840.14,,,1.1,16.44
"162-980A-9H-3,18-20",92.27,840.9,-0.37,2.88,0.23,3.98
"162-980A-9H-3,23-25",92.32,841.4,0.24,2.66,0.36,13.28
"162-980A-9H-3,28-30",92.37,841.9,,,1.59,85.26
"162-980A-9H-3,33-35",92.42,842.41,0.75,3.14,2.07,178.52
"162-980A-9H-3,38-40",92.47,842.91,0.54,3.41,2.51,254.47
"162-980A-9H-3,43-45",92.52,843.41,0.74,3.28,0.93,189.93
"162-980A-9H-3,48-50",92.57,843.91,0.68,3.18,0,0
"162-980A-9H-3,53-55",92.62,844.41,1.19,4.36,0,0
"162-980A-9H-3,58-60",92.67,844.91,,,0,0
"162-980A-9H-3,63-65",92.72,845.42,0.44,3.38,0,0
"162-980A-9H-3,68-70",92.77,845.92,,,0,0
"162-980A-9H-3,73-75",92.82,846.42,,,0,0
"162-980A-9H-3,78-80",92.87,846.92,0.51,2.91,0,0
"162-980C-11H-1,98-100",92.91,847.32,0.53,2.85,0,0
"162-980C-11H-1,103-105",92.96,847.82,0.6,3.08,0.35,7.09
"162-980C-11H-1,108-110",93.01,848.32,0.97,3.67,0,0
"162-980C-11H-1,113-115",93.06,848.83,0.49,3.05,0,0
"162-980C-11H-1,118-120",93.11,849.33,0.45,2.99,0,0
"162-980C-11H-1,123-130",93.16,849.83,0.46,2.99,0,0
"162-980C-11H-1,128-130",93.21,850.33,0.31,3.21,0,0
"162-980C-11H-1,133-138",93.26,850.83,0.64,2.96,0,0
"162-980C-11H-1,138-140",93.31,851.33,0.5,2.97,0,0
"162-980C-11H-1,143-145",93.36,851.84,0.54,2.94,0,0
"162-980C-11H-1,148-150",93.41,852.34,0.23,2.89,0,0
"162-980C-11H-2,3-5",93.46,852.84,0.16,2.91,0,0
"162-980C-11H-2,8-10",93.51,853.34,0.31,2.92,0,0
"162-980C-11H-2,13-15",93.56,853.84,0.44,2.83,0,0
"162-980C-11H-2,18-20",93.61,854.34,0.34,2.64,0.48,14.34
"162-980C-11H-2,23-25",93.66,854.85,0.44,2.86,0,0
"162-980C-11H-2,28-30",93.71,855.35,0.19,2.89,0,0
"162-980C-11H-2,33-35",93.76,855.85,0.36,2.65,0,0
"162-980C-11H-2,38-40",93.81,856.85,0.35,2.56,0,0
"162-980C-11H-2,43-45",93.86,857.85,0.22,2.56,0,0
"162-980C-11H-2,48-50",93.91,858.86,0.51,2.7,0,0
"162-980C-11H-2,53-55",93.96,859.86,0.63,2.67,0,0
"162-980C-11H-2,58-60",94.01,860.86,0.12,2.42,0,0
"162-980C-11H-2,63-65",94.06,861.86,,,0.24,2.56
"162-980C-11H-2,68-70",94.11,862.87,-0.05,3.24,29.17,336.63
"162-980C-11H-2,73-75",94.16,863.87,,,0,0
"162-980C-11H-2,78-80",94.21,864.87,-0.29,3.09,0.28,0.61
"162-980C-11H-2,83-85",94.26,865.87,,,0.28,1.46
"162-980C-11H-2,88-90",94.31,866.87,-0.4,3.69,15.38,306.57
"162-980C-11H-2,93-95",94.36,867.88,0.2,4.24,14.35,206.38
"162-980C-11H-2,98-100",94.41,868.88,-0.24,3.45,14,355.23
"162-980C-11H-2,103-105",94.46,869.88,-0.12,4.27,14.37,452.58
"162-980C-11H-2,108-110",94.51,870.75,,,36.53,271.62
"162-980C-11H-2,113-115",94.56,871.63,0.44,4.64,27.59,288.24
"162-980C-11H-2,118-120",94.61,872.5,-0.1,4.1,22.5,163.9
"162-980C-11H-2,123-125",94.66,873.37,0.24,4.19,9.67,62.65
"162-980C-11H-2,128-130",94.71,874.25,0.35,4.59,12.45,181.69
"162-980C-11H-2,133-135",94.76,875.12,0.41,4.33,1.88,22.34
"162-980C-11H-2,138-140",94.81,875.99,0.17,3.88,1.61,8.32
"162-980C-11H-2,143-145",94.86,876.86,0.41,4.74,8.12,291.71
"162-980C-11H-2,148-150",94.91,877.74,0.54,4.56,18,896.24
"162-980C-11H-3,3-5",94.96,878.61,,,12.08,338.55
"162-980C-11H-3,8-10",95.01,879.48,,,12.15,479.61
"162-980C-11H-3,13-15",95.06,880.36,,,14.79,1210.62
"162-980C-11H-3,18-20",95.11,881.23,0.31,3.74,10.47,283.19
"162-980C-11H-3,23-25",95.16,882.1,0.38,4.58,9.85,504.03
"162-980C-11H-3,28-30",95.21,882.98,0.4,4.04,8.57,424.58
"162-980C-11H-3,33-35",95.26,883.85,0.37,4.04,10.31,739.49
"162-980C-11H-3,38-40",95.31,884.72,0.19,3.82,3.25,116.81
"162-980C-11H-3,43-48",95.36,885.6,0.11,3.83,4.03,83.85
"162-980C-11H-3,48-50",95.41,886.47,0.03,3.68,15.96,289.55
"162-980C-11H-3,53-55",95.46,887.34,-0.1,3.68,,
"162-980C-11H-3,58-60",95.51,888.22,-0.21,3.53,41.97,954.5
"162-980C-11H-3,63-65",95.56,888.72,-0.15,3.73,44.38,954.78
"162-980C-11H-3,68-70",95.61,889.23,-0.15,3.8,44.48,1357.87
"162-980C-11H-3,73-75",95.66,889.73,-0.2,3.83,39.91,1049.18
"162-980C-11H-3,78-80",95.71,890.24,-0.25,3.78,43.61,829.45
"162-980C-11H-3,83-85",95.76,890.74,-0.19,3.84,37.47,455.72
"162-980C-11H-3,88-90",95.81,891.25,0.01,3.85,26.94,692.76
"162-980C-11H-3,93-95",95.86,891.75,0.04,3.9,45.51,1771.63
"162-980C-11H-3,98-100",95.91,892.26,-0.05,3.68,14.63,772.99
"162-980C-11H-3,103-105",95.96,892.76,0.44,3.99,2.46,1670.47
"162-980C-11H-3,108-110",96.01,893.27,0.14,3.54,1.15,247.14
"162-980C-11H-3,113-115",96.06,893.77,0.71,3.99,0,0
"162-980C-11H-3,118-120",96.11,894.28,0.58,3.73,0.77,194.68
"162-980C-11H-3,123-125",96.16,894.78,0.82,3.92,0.71,241.51
"162-980C-11H-3,128-130",96.21,895.29,0.41,3.58,0.5,138.39
"162-980C-11H-3,133-135",96.26,895.79,0.31,3.68,1.24,330.48
"162-980C-11H-3,138-140",96.31,896.3,0.42,3.42,0.4,111.35
"162-980C-11H-3,143-145",96.36,897.69,0.4,3.06,0.33,307.85
"162-980C-11H-3,148-150",96.41,899.08,0.22,3.45,0.44,105.93
"162-980C-11H-4,3-5",96.46,900.47,-0.03,3.76,1.07,143.83
"162-980C-11H-4,8-10",96.51,901.86,-0.09,3.71,0.16,23.23
"162-980C-11H-4,13-15",96.56,903.25,0.09,3.43,13.59,1071.47
"162-980C-11H-4,18-20",96.61,904.65,-0.26,3.33,1.97,185.62
"162-980C-11H-4,23-25",96.66,906.04,0.19,4.23,1.82,195.53
"162-980C-11H-4,28-30",96.71,907.43,-0.21,3.42,50.8,1022.42
"162-980C-11H-4,33-35",96.76,908.82,-0.52,3.18,32.42,1011.06
"162-980C-11H-4,38-40",96.81,910.21,-0.46,3.3,36.79,643.96
"162-980C-11H-4,43-45",96.86,911.6,,,17.56,1596.3
"162-980C-11H-4,48-50",96.91,912.99,0.3,4.22,3.77,833.78
"162-980C-11H-4,53-55",96.96,914.35,0.2,4.17,5.14,609.22
"162-980C-11H-4,58-60",97.01,915.71,,,14.23,639.44
"162-980C-11H-4,63-65",97.06,917.07,,,82.93,2785.45
"162-980C-11H-4,68-70",97.11,918.43,0.34,4.24,1.98,568.94
"162-980C-11H-4,73-75",97.16,919.8,-0.22,3.95,0.76,151.3
"162-980C-11H-4,78-80",97.21,921.16,0.1,3.86,4.93,690.03
"162-980C-11H-4,83-85",97.26,922.52,0.48,3.97,3.11,133.48
"162-980C-11H-4,88-90",97.31,923.88,0.44,3.66,1.02,109.73
"162-980C-11H-4,93-95",97.36,925.24,0.01,3.63,1.11,99.55
"162-980C-11H-4,98-100",97.41,926.6,0.41,3.25,2.34,201.6
"162-980C-11H-4,103-105",97.46,927.29,0.08,3.42,15.26,1239.65
"162-980C-11H-4,108-110",97.51,927.99,0.13,3.25,17.85,926.06
"162-980C-11H-4,113-115",97.56,928.68,0.31,3.45,20.43,447.46
"162-980C-11H-4,118-120",97.61,929.37,-0.43,3.22,4.64,220.77
"162-980C-11H-4,123-125",97.66,930.07,0.51,3.56,5.69,491.29
"162-980C-11H-4,128-130",97.71,930.76,0.7,3.41,0.83,126.27
"162-980C-11H-4,133-135",97.76,931.45,0.69,3.15,3.67,940.12
"162-980C-11H-4,138-140",97.81,932.15,0.44,3.1,1.29,231.11
"162-980C-11H-4,143-145",97.86,932.84,,,0.23,51.64
"162-980C-11H-4,148-150",97.91,933.53,0.11,3.33,1.46,61.9
"162-980C-11H-5,3-5",97.96,934.23,0.85,3.07,0,0
"162-980C-11H-5,8-10",98.01,934.92,0.8,3.03,0,0
"162-980C-11H-5,13-15",98.06,935.61,0.92,3.15,0,0
"162-980C-11H-5,18-20",98.11,936.31,0.84,3.03,0.58,115.93
"162-980C-11H-5,23-25",98.16,937,0.41,3.17,0,0
"162-980C-11H-5,28-30",98.21,938.39,0.73,3.12,0,0
"162-980C-11H-5,33-35",98.26,939.77,0.56,3.06,0,0
"162-980C-11H-5,38-40",98.31,941.16,0.59,2.77,0.15,33.43
"162-980C-11H-5,43-45",98.36,942.54,0.25,3.01,0,0
"162-980C-11H-5,48-50",98.41,943.93,0.54,2.89,0,0
"162-980C-11H-5,53-55",98.46,945.31,0.67,2.67,0,0
"162-980C-11H-5,58-60",98.51,946.7,0.59,2.66,0.28,24.76
"162-980C-11H-5,63-65",98.56,948.09,0.89,2.73,0,0
"162-980C-11H-5,68-70",98.61,949.47,0.61,2.64,0,0
"162-980C-11H-5,73-75",98.66,950.86,0.65,2.71,1.34,254.03
"162-980C-11H-5,78-80",98.71,952.24,0.66,2.52,0.29,48.66
"162-980C-11H-5,83-85",98.76,953.63,0.62,2.67,1.16,179.6
"162-980C-11H-5,88-90",98.81,955.01,0.68,2.65,0.99,189.21
"162-980C-11H-5,93-95",98.86,956.4,0.46,2.56,3.75,637
"162-980C-11H-5,98-100",98.91,957.78,-0.16,2.51,9.19,457.14
"162-980C-11H-5,103-105",98.96,959.17,0.01,3.25,11.07,664.2
"162-980C-11H-5,108-110",99.01,960.13,-0.13,3.38,36.18,1300.16
"162-980C-11H-5,113-115",99.06,961.09,0.31,3.92,13.62,1517.86
"162-980C-11H-5,118-120",99.11,962.06,0.55,3.78,0.12,47.03
"162-980C-11H-5,123-125",99.16,963.02,0.79,3.94,0,0
"162-980C-11H-5,128-130",99.21,963.98,0.64,3.96,0.28,98.96
"162-980C-11H-5,133-135",99.26,964.94,0.73,3.59,0,0
"162-980C-11H-5,138-140",99.31,965.9,0.55,3.67,0.39,115.7
"162-980C-11H-5,143-145",99.36,966.87,0.32,3.24,0,0
"162-980C-11H-5,148-150",99.41,967.83,1.11,4.18,0,0
"162-980C-11H-6,3-5",99.46,968.79,0.76,3.61,0.54,129.54
"162-980C-11H-6,8-10",99.51,969.75,0.61,3.39,1.97,403.38
"162-980C-11H-6,13-15",99.56,970.71,0.52,3.56,0.7,160.13
"162-980C-11H-6,18-20",99.61,971.68,0.48,3.18,1.07,159.48
"162-980C-11H-6,23-25",99.66,972.64,0.54,3.31,0.21,34.39
"162-980C-11H-6,28-30",99.71,973.6,0.44,3.1,0.58,44.37
"162-980C-11H-6,33-35",99.76,974.39,0.87,3.22,2,301.56
"162-980C-11H-6,38-40",99.81,975.19,0.8,3.03,0.88,75.91
"162-980C-11H-6,43-45",99.86,975.98,0.32,3.01,,
"162-980C-11H-6,48-50",99.91,976.77,0.65,3.5,6.46,745.14
"162-980C-11H-6,53-55",99.96,977.57,0.33,3.33,28.72,172.11
"162-980C-11H-6,58-60",100.01,978.36,0.45,3.19,39.95,925.19
"162-980C-11H-6,63-65",100.06,979.15,0.36,3.36,21.55,666.4
"162-980C-11H-6,68-70",100.11,979.95,0.82,3.78,1.77,255.35
"162-980C-11H-6,73-75",100.16,980.74,0.95,4.1,5.55,2077.92
"162-980C-11H-6,78-80",100.21,981.53,0.77,3.49,0.17,100.57
"162-980C-11H-6,83-85",100.26,982.33,1.16,3.72,0.27,168.87
"162-980C-11H-6,88-90",100.31,983.12,1.16,3.72,0.37,186.83
"162-980C-11H-6,93-95",100.36,983.91,1.21,3.59,0,0
"162-980C-11H-6,98-100",100.41,984.71,0.9,3.2,0.32,6.15
"162-980C-11H-6,103-105",100.46,985.5,1.12,3.64,0.84,196.55
"162-980C-11H-6,108-110",100.51,986.29,0.93,3.53,0,0
"162-980C-11H-6,113-115",100.56,987.09,1.06,3.38,0,0
"162-980C-11H-6,118-120",100.61,987.88,0.81,3.06,0,0
"162-980C-11H-6,123-125",100.66,988.67,,,0,0
"162-980C-11H-6,128-130",100.71,989.47,,,0.25,26.9
"162-980C-11H-6,133-135",100.76,990.26,,,10.07,1384.66
"162-980C-11H-6,138-140",100.81,991.05,0.64,3.14,1.22,228.9
"162-980C-11H-6,143-145",100.86,991.85,,,40.37,1240.61
"162-980C-11H-6,148-150",100.91,992.64,0.92,3.6,45.12,917.51